CountryName,CountryCode,2018,2019
Aruba,ABW,105845,106314
Afghanistan,AFG,37172386,38041754
Angola,AGO,30809762,31825295
Albania,ALB,2866376,2854191
Andorra,AND,77006,77142
Arab World,ARB,419790591,427870270
United Arab Emirates,ARE,9630959,9770529
Argentina,ARG,44494502,44938712
Armenia,ARM,2951776,2957731
American Samoa,ASM,55465,55312
Antigua and Barbuda,ATG,96286,97118
Australia,AUS,24982688,25364307
Austria,AUT,8840521,8877067
Azerbaijan,AZE,9939771,10023318
Burundi,BDI,11175378,11530580
Belgium,BEL,11427054,11484055
Benin,BEN,11485048,11801151
Burkina Faso,BFA,19751535,20321378
Bangladesh,BGD,161356039,163046161
Bulgaria,BGR,7025037,6975761
Bahrain,BHR,1569439,1641172
"Bahamas, The",BHS,385640,389482
Bosnia and Herzegovina,BIH,3323929,3301000
Belarus,BLR,9483499,9466856
Belize,BLZ,383071,390353
Bermuda,BMU,63920,63918
Bolivia,BOL,11353142,11513100
Brazil,BRA,209469333,211049527
Barbados,BRB,286641,287025
Brunei Darussalam,BRN,428962,433285
Bhutan,BTN,754394,763092
Botswana,BWA,2254126,2303697
Central African Republic,CAF,4666377,4745185
Canada,CAN,37057765,37589262
Central Europe and the Baltics,CEB,102537026,102378579
Switzerland,CHE,8514329,8574832
Channel Islands,CHI,170499,172259
Chile,CHL,18729160,18952038
China,CHN,1392730000,1397715000
Cote d'Ivoire,CIV,25069229,25716544
Cameroon,CMR,25216237,25876380
"Congo, Dem. Rep.",COD,84068091,86790567
"Congo, Rep.",COG,5244363,5380508
Colombia,COL,49648685,50339443
Comoros,COM,832322,850886
Cabo Verde,CPV,543767,549935
Costa Rica,CRI,4999441,5047561
Caribbean small states,CSS,7358965,7401381
Cuba,CUB,11338138,11333483
Curacao,CUW,159800,157538
Cayman Islands,CYM,64174,64948
Cyprus,CYP,1189265,1198575
Czech Republic,CZE,10629928,10669709
Germany,DEU,82905782,83132799
Djibouti,DJI,958920,973560
Dominica,DMA,71625,71808
Denmark,DNK,5793636,5818553
Dominican Republic,DOM,10627165,10738958
Algeria,DZA,42228429,43053054
